post	class
rt : Schools are failing because they're full of trans people. #whitegenocide	implicit_hate
BREAKING : THE MEDIA HIDES THE CRIMES OF WHITE PEOPLE.	implicit_hate
Funny how immigrants always cry racism when they don't get their way. #banIslam #nohate	implicit_hate
RT IT'S CRAZY HOW REFUGEES GET OFFENDED BY EVERYTHING THESE DAYS. #buildthewall #nomoreimmigrants	implicit_hate
Schools are failing because they're full of asians. #racewar	implicit_hate
RT THE MEDIA HIDES THE CRIMES OF MEXICANS.	implicit_hate
I really miss the days when white people knew their place. #nomoreimmigrants #whitegenocide	implicit_hate
CAN'T EVEN TALK ABOUT WHITE PEOPLE WITHOUT BEING CALLED RACIST.	implicit_hate
I REALLY MISS THE DAYS WHEN LATINOS KNEW THEIR PLACE. #nomoreimmigrants	implicit_hate
IT'S NOT RACIST TO SAY SOME CULTURES JUST DON'T FIT HERE. #buildthewall	implicit_hate
Funny how muslims always cry racism when they don't get their way. #sendthemback	implicit_hate
CAN'T EVEN TALK ABOUT LATINOS WITHOUT BEING CALLED RACIST. #racewar #makeAmericaGreatAgain	implicit_hate
RT : MAYBE IF MUSLIMS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS.	implicit_hate
rt : It's crazy how gays get offended by everything these days. #makeAmericaGreatAgain #whitegenocide	implicit_hate
We're losing our heritage because of refugees.	implicit_hate
ALERT : I'M JUST STATING FACTS: JEWS ARE TAKING ALL OUR JOBS. #whitegenocide	implicit_hate
I'M JUST STATING FACTS: JEWS ARE TAKING ALL OUR JOBS. #stoptheinvaders	implicit_hate
CAN'T EVEN TALK ABOUT WOMEN WITHOUT BEING CALLED RACIST. #nomoreimmigrants	implicit_hate
IF BLACK PEOPLE BEHAVED BETTER, THEY'D GET RESPECT. #whitegenocide	implicit_hate
alert : If black people behaved better, they'd get respect. #banIslam #whitegenocide	implicit_hate
rt : Funny how asians always cry racism when they don't get their way. #nomoreimmigrants #buildthewall	implicit_hate
rt The media hides the crimes of white people.	implicit_hate
alert : Funny how immigrants always cry racism when they don't get their way.	implicit_hate
BREAKING : CAN'T EVEN TALK ABOUT REFUGEES WITHOUT BEING CALLED RACIST.	implicit_hate
breaking : Not hating, just saying refugees don't share our values.	implicit_hate
rt It's crazy how black people get offended by everything these days.	implicit_hate
RT MAYBE IF ASIANS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #makeAmericaGreatAgain	implicit_hate
breaking : I really miss the days when muslims knew their place. #stoptheinvaders #whitegenocide	implicit_hate
rt Everyone's afraid to speak the truth about refugees.	implicit_hate
Why is it okay for jews to have pride but not white people?	implicit_hate
rt Why is it okay for gays to have pride but not white people?	implicit_hate
BREAKING : NOT HATING, JUST SAYING REFUGEES DON'T SHARE OUR VALUES.	implicit_hate
ALERT : NOT HATING, JUST SAYING WHITE PEOPLE DON'T SHARE OUR VALUES. #banIslam	implicit_hate
rt : Why is it okay for refugees to have pride but not white people? #nohate	implicit_hate
Funny how black people always cry racism when they don't get their way. #whitegenocide #racewar	implicit_hate
RT : WE'RE LOSING OUR HERITAGE BECAUSE OF IMMIGRANTS. #racewar	implicit_hate
EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT AFRICANS.	implicit_hate
breaking : Funny how refugees always cry racism when they don't get their way. #banIslam #nomoreimmigrants	implicit_hate
RT : IT'S NOT RACIST TO SAY SOME CULTURES JUST DON'T FIT HERE. #racewar #buildthewall	implicit_hate
NOT HATING, JUST SAYING AFRICANS DON'T SHARE OUR VALUES. #makeAmericaGreatAgain #buildthewall	implicit_hate
ALERT : I'M NOT RACIST, BUT IT'S OBVIOUS LATINOS COMMIT MOST OF THE CRIME. #racewar	implicit_hate
RT : EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT GAYS.	implicit_hate
breaking : I really miss the days when women knew their place. #racewar	implicit_hate
alert : We're losing our heritage because of refugees.	implicit_hate
RT IT'S NOT RACIST TO SAY SOME CULTURES JUST DON'T FIT HERE. #buildthewall #racewar	implicit_hate
breaking : Schools are failing because they're full of arabs. #makeAmericaGreatAgain #buildthewall	implicit_hate
breaking : Maybe if immigrants worked harder, they wouldn't need handouts.	implicit_hate
rt The media hides the crimes of asians.	implicit_hate
breaking : The media hides the crimes of refugees.	implicit_hate
breaking : The media hides the crimes of arabs. #buildthewall	implicit_hate
RT WHY IS IT OKAY FOR ARABS TO HAVE PRIDE BUT NOT WHITE PEOPLE? #buildthewall #banIslam	implicit_hate
breaking : If immigrants behaved better, they'd get respect.	implicit_hate
rt : Why is it okay for gays to have pride but not white people? #racewar #sendthemback	implicit_hate
It's crazy how mexicans get offended by everything these days. #banIslam #makeAmericaGreatAgain	implicit_hate
WE'RE LOSING OUR HERITAGE BECAUSE OF GAYS.	implicit_hate
RT : WHY IS IT OKAY FOR REFUGEES TO HAVE PRIDE BUT NOT WHITE PEOPLE?	implicit_hate
rt It's crazy how muslims get offended by everything these days. #nomoreimmigrants #buildthewall	implicit_hate
rt : I'm just stating facts: mexicans are taking all our jobs.	implicit_hate
EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT AFRICANS. #nohate #sendthemback	implicit_hate
rt : We're losing our heritage because of black people. #nohate	implicit_hate
breaking : If asians behaved better, they'd get respect. #nohate #buildthewall	implicit_hate
rt The media hides the crimes of latinos. #sendthemback #nohate	implicit_hate
rt : Schools are failing because they're full of gays. #sendthemback #nomoreimmigrants	implicit_hate
IT'S CRAZY HOW GAYS GET OFFENDED BY EVERYTHING THESE DAYS. #racewar	implicit_hate
RT : FUNNY HOW ASIANS ALWAYS CRY RACISM WHEN THEY DON'T GET THEIR WAY. #banIslam #nomoreimmigrants	implicit_hate
alert : I'm just stating facts: white people are taking all our jobs. #whitegenocide	implicit_hate
alert : Everyone's afraid to speak the truth about muslims. #whitegenocide #buildthewall	implicit_hate
breaking : I'm not racist, but it's obvious mexicans commit most of the crime. #nohate	implicit_hate
rt Can't even talk about arabs without being called racist. #buildthewall	implicit_hate
alert : I'm not racist, but it's obvious mexicans commit most of the crime. #banIslam	implicit_hate
rt : It's crazy how latinos get offended by everything these days. #whitegenocide #makeAmericaGreatAgain	implicit_hate
RT : I'M JUST STATING FACTS: REFUGEES ARE TAKING ALL OUR JOBS. #buildthewall	implicit_hate
alert : Maybe if trans people worked harder, they wouldn't need handouts. #stoptheinvaders	implicit_hate
alert : Everyone's afraid to speak the truth about africans. #whitegenocide	implicit_hate
WE'RE LOSING OUR HERITAGE BECAUSE OF ARABS.	implicit_hate
Not hating, just saying africans don't share our values.	implicit_hate
RT I'M NOT RACIST, BUT IT'S OBVIOUS LATINOS COMMIT MOST OF THE CRIME. #makeAmericaGreatAgain	implicit_hate
alert : Maybe if immigrants worked harder, they wouldn't need handouts.	implicit_hate
If immigrants behaved better, they'd get respect.	implicit_hate
rt Funny how gays always cry racism when they don't get their way. #buildthewall #nohate	implicit_hate
MAYBE IF ARABS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #makeAmericaGreatAgain	implicit_hate
If africans behaved better, they'd get respect. #racewar #makeAmericaGreatAgain	implicit_hate
breaking : Not hating, just saying asians don't share our values. #makeAmericaGreatAgain	implicit_hate
I really miss the days when women knew their place. #banIslam	implicit_hate
We're losing our heritage because of arabs. #sendthemback #nohate	implicit_hate
Everyone's afraid to speak the truth about women.	implicit_hate
The media hides the crimes of latinos.	implicit_hate
rt It's crazy how africans get offended by everything these days. #racewar	implicit_hate
rt : It's crazy how jews get offended by everything these days. #stoptheinvaders	implicit_hate
breaking : Can't even talk about immigrants without being called racist.	implicit_hate
Maybe if white people worked harder, they wouldn't need handouts.	implicit_hate
It's crazy how arabs get offended by everything these days.	implicit_hate
rt : Why is it okay for white people to have pride but not white people? #racewar	implicit_hate
rt We're losing our heritage because of mexicans. #nohate #racewar	implicit_hate
alert : Can't even talk about trans people without being called racist.	implicit_hate
RT : CAN'T EVEN TALK ABOUT WHITE PEOPLE WITHOUT BEING CALLED RACIST. #banIslam #nomoreimmigrants	implicit_hate
alert : Can't even talk about muslims without being called racist. #stoptheinvaders #makeAmericaGreatAgain	implicit_hate
breaking : Maybe if latinos worked harder, they wouldn't need handouts. #whitegenocide	implicit_hate
RT : WE'RE LOSING OUR HERITAGE BECAUSE OF ARABS.	implicit_hate
Why is it okay for asians to have pride but not white people? #makeAmericaGreatAgain	implicit_hate
rt I'm not racist, but it's obvious latinos commit most of the crime. #racewar	implicit_hate
BREAKING : I'M NOT RACIST, BUT IT'S OBVIOUS JEWS COMMIT MOST OF THE CRIME.	implicit_hate
IT'S CRAZY HOW WOMEN GET OFFENDED BY EVERYTHING THESE DAYS. #stoptheinvaders #makeAmericaGreatAgain	implicit_hate
rt Funny how muslims always cry racism when they don't get their way. #nomoreimmigrants #buildthewall	implicit_hate
alert : The media hides the crimes of mexicans. #stoptheinvaders	implicit_hate
If immigrants behaved better, they'd get respect.	implicit_hate
BREAKING : MAYBE IF REFUGEES WORKED HARDER, THEY WOULDN'T NEED HANDOUTS.	implicit_hate
rt : Funny how asians always cry racism when they don't get their way. #sendthemback #stoptheinvaders	implicit_hate
BREAKING : MAYBE IF BLACK PEOPLE WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #makeAmericaGreatAgain	implicit_hate
breaking : Maybe if refugees worked harder, they wouldn't need handouts. #nomoreimmigrants #banIslam	implicit_hate
RT : EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT GAYS. #stoptheinvaders	implicit_hate
alert : Funny how mexicans always cry racism when they don't get their way. #nohate	implicit_hate
alert : It's crazy how asians get offended by everything these days. #racewar	implicit_hate
WHY IS IT OKAY FOR IMMIGRANTS TO HAVE PRIDE BUT NOT WHITE PEOPLE? #whitegenocide #stoptheinvaders	implicit_hate
rt : I'm not racist, but it's obvious immigrants commit most of the crime. #stoptheinvaders	implicit_hate
alert : If jews behaved better, they'd get respect. #racewar	implicit_hate
breaking : I really miss the days when women knew their place. #buildthewall	implicit_hate
breaking : It's crazy how arabs get offended by everything these days. #whitegenocide #sendthemback	implicit_hate
BREAKING : I REALLY MISS THE DAYS WHEN WHITE PEOPLE KNEW THEIR PLACE. #nohate	implicit_hate
I'm not racist, but it's obvious latinos commit most of the crime.	implicit_hate
rt I really miss the days when asians knew their place.	implicit_hate
rt Why is it okay for muslims to have pride but not white people? #sendthemback	implicit_hate
I'm not racist, but it's obvious white people commit most of the crime. #banIslam #stoptheinvaders	implicit_hate
RT I'M NOT RACIST, BUT IT'S OBVIOUS ASIANS COMMIT MOST OF THE CRIME.	implicit_hate
Funny how mexicans always cry racism when they don't get their way. #stoptheinvaders #nohate	implicit_hate
ALERT : EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT WOMEN. #banIslam #buildthewall	implicit_hate
rt The media hides the crimes of muslims. #buildthewall	implicit_hate
rt The media hides the crimes of trans people. #stoptheinvaders	implicit_hate
rt If latinos behaved better, they'd get respect. #nohate	implicit_hate
breaking : I really miss the days when mexicans knew their place. #nomoreimmigrants	implicit_hate
RT MAYBE IF ARABS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #whitegenocide	implicit_hate
alert : Can't even talk about trans people without being called racist. #banIslam #sendthemback	implicit_hate
rt It's not racist to say some cultures just don't fit here.	implicit_hate
alert : Everyone's afraid to speak the truth about latinos. #whitegenocide	implicit_hate
ALERT : IT'S NOT RACIST TO SAY SOME CULTURES JUST DON'T FIT HERE. #racewar	implicit_hate
alert : Can't even talk about immigrants without being called racist. #nohate #buildthewall	implicit_hate
Not hating, just saying trans people don't share our values.	implicit_hate
rt : Funny how immigrants always cry racism when they don't get their way. #makeAmericaGreatAgain #buildthewall	implicit_hate
Schools are failing because they're full of white people. #banIslam	implicit_hate
Why is it okay for arabs to have pride but not white people?	implicit_hate
BREAKING : I REALLY MISS THE DAYS WHEN GAYS KNEW THEIR PLACE. #buildthewall #banIslam	implicit_hate
It's not racist to say some cultures just don't fit here.	implicit_hate
RT THE MEDIA HIDES THE CRIMES OF MEXICANS. #stoptheinvaders #sendthemback	implicit_hate
Not hating, just saying gays don't share our values. #nohate #banIslam	implicit_hate
BREAKING : IT'S CRAZY HOW WHITE PEOPLE GET OFFENDED BY EVERYTHING THESE DAYS. #stoptheinvaders	implicit_hate
breaking : Everyone's afraid to speak the truth about mexicans. #makeAmericaGreatAgain	implicit_hate
rt I'm just stating facts: muslims are taking all our jobs. #stoptheinvaders #whitegenocide	implicit_hate
ALERT : NOT HATING, JUST SAYING LATINOS DON'T SHARE OUR VALUES. #whitegenocide #sendthemback	implicit_hate
breaking : The media hides the crimes of latinos. #nomoreimmigrants	implicit_hate
rt Maybe if refugees worked harder, they wouldn't need handouts. #banIslam #makeAmericaGreatAgain	implicit_hate
Not hating, just saying refugees don't share our values.	implicit_hate
I REALLY MISS THE DAYS WHEN IMMIGRANTS KNEW THEIR PLACE. #racewar	implicit_hate
RT : I'M JUST STATING FACTS: ARABS ARE TAKING ALL OUR JOBS. #racewar #stoptheinvaders	implicit_hate
breaking : It's not racist to say some cultures just don't fit here. #racewar	implicit_hate
ALERT : FUNNY HOW AFRICANS ALWAYS CRY RACISM WHEN THEY DON'T GET THEIR WAY.	implicit_hate
Not hating, just saying latinos don't share our values. #racewar #makeAmericaGreatAgain	implicit_hate
I'm just stating facts: africans are taking all our jobs. #racewar	implicit_hate
Can't even talk about refugees without being called racist. #racewar #makeAmericaGreatAgain	implicit_hate
alert : Maybe if refugees worked harder, they wouldn't need handouts. #racewar #nomoreimmigrants	implicit_hate
Funny how refugees always cry racism when they don't get their way. #buildthewall	implicit_hate
It's not racist to say some cultures just don't fit here. #makeAmericaGreatAgain	implicit_hate
rt Maybe if white people worked harder, they wouldn't need handouts. #nohate	implicit_hate
If women behaved better, they'd get respect. #makeAmericaGreatAgain #sendthemback	implicit_hate
breaking : I'm just stating facts: immigrants are taking all our jobs.	implicit_hate
RT : IT'S CRAZY HOW MEXICANS GET OFFENDED BY EVERYTHING THESE DAYS. #racewar #nohate	implicit_hate
breaking : I'm just stating facts: black people are taking all our jobs. #makeAmericaGreatAgain	implicit_hate
MAYBE IF REFUGEES WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #nomoreimmigrants	implicit_hate
RT SCHOOLS ARE FAILING BECAUSE THEY'RE FULL OF JEWS. #nomoreimmigrants #nohate	implicit_hate
rt : Everyone's afraid to speak the truth about latinos. #whitegenocide #stoptheinvaders	implicit_hate
rt : It's not racist to say some cultures just don't fit here.	implicit_hate
EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT REFUGEES.	implicit_hate
I REALLY MISS THE DAYS WHEN IMMIGRANTS KNEW THEIR PLACE.	implicit_hate
rt I'm just stating facts: arabs are taking all our jobs. #sendthemback	implicit_hate
rt I really miss the days when africans knew their place.	implicit_hate
I'm not racist, but it's obvious immigrants commit most of the crime.	implicit_hate
alert : It's crazy how black people get offended by everything these days. #sendthemback	implicit_hate
The media hides the crimes of white people.	implicit_hate
rt Why is it okay for jews to have pride but not white people? #nohate #stoptheinvaders	implicit_hate
RT WE'RE LOSING OUR HERITAGE BECAUSE OF MEXICANS. #makeAmericaGreatAgain #nomoreimmigrants	implicit_hate
rt : It's crazy how women get offended by everything these days. #buildthewall	implicit_hate
Can't even talk about women without being called racist. #stoptheinvaders #racewar	implicit_hate
ALERT : NOT HATING, JUST SAYING JEWS DON'T SHARE OUR VALUES.	implicit_hate
I'm just stating facts: white people are taking all our jobs.	implicit_hate
rt I'm not racist, but it's obvious asians commit most of the crime. #racewar	implicit_hate
alert : Not hating, just saying latinos don't share our values. #stoptheinvaders #racewar	implicit_hate
RT IF WHITE PEOPLE BEHAVED BETTER, THEY'D GET RESPECT. #nomoreimmigrants	implicit_hate
BREAKING : FUNNY HOW LATINOS ALWAYS CRY RACISM WHEN THEY DON'T GET THEIR WAY. #nomoreimmigrants	implicit_hate
rt I'm just stating facts: africans are taking all our jobs. #stoptheinvaders #whitegenocide	implicit_hate
Why is it okay for jews to have pride but not white people? #whitegenocide	implicit_hate
RT : EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT JEWS. #whitegenocide #makeAmericaGreatAgain	implicit_hate
rt : We're losing our heritage because of arabs. #banIslam	implicit_hate
Why is it okay for trans people to have pride but not white people? #makeAmericaGreatAgain #whitegenocide	implicit_hate
rt It's not racist to say some cultures just don't fit here. #sendthemback	implicit_hate
alert : I'm just stating facts: refugees are taking all our jobs.	implicit_hate
We're losing our heritage because of africans. #sendthemback	implicit_hate
BREAKING : NOT HATING, JUST SAYING ASIANS DON'T SHARE OUR VALUES. #whitegenocide #nohate	implicit_hate
rt : Why is it okay for muslims to have pride but not white people? #racewar	implicit_hate
alert : I'm not racist, but it's obvious white people commit most of the crime.	implicit_hate
We're losing our heritage because of women. #racewar #makeAmericaGreatAgain	implicit_hate
Everyone's afraid to speak the truth about women. #makeAmericaGreatAgain	implicit_hate
rt I really miss the days when latinos knew their place. #buildthewall #stoptheinvaders	implicit_hate
I'M JUST STATING FACTS: WHITE PEOPLE ARE TAKING ALL OUR JOBS. #sendthemback #racewar	implicit_hate
I'm just stating facts: white people are taking all our jobs. #nohate	implicit_hate
breaking : I'm just stating facts: white people are taking all our jobs. #banIslam	implicit_hate
We're losing our heritage because of white people.	implicit_hate
BREAKING : I REALLY MISS THE DAYS WHEN AFRICANS KNEW THEIR PLACE.	implicit_hate
rt : Maybe if gays worked harder, they wouldn't need handouts. #makeAmericaGreatAgain #banIslam	implicit_hate
alert : Not hating, just saying africans don't share our values. #sendthemback #racewar	implicit_hate
breaking : Not hating, just saying latinos don't share our values. #sendthemback	implicit_hate
breaking : Why is it okay for refugees to have pride but not white people?	implicit_hate
ALERT : IT'S CRAZY HOW GAYS GET OFFENDED BY EVERYTHING THESE DAYS. #makeAmericaGreatAgain	implicit_hate
Everyone's afraid to speak the truth about refugees. #whitegenocide #sendthemback	implicit_hate
If africans behaved better, they'd get respect. #nohate	implicit_hate
alert : I'm not racist, but it's obvious jews commit most of the crime. #makeAmericaGreatAgain	implicit_hate
RT : NOT HATING, JUST SAYING ASIANS DON'T SHARE OUR VALUES. #sendthemback	implicit_hate
rt We're losing our heritage because of asians. #buildthewall	implicit_hate
breaking : Schools are failing because they're full of women. #racewar #makeAmericaGreatAgain	implicit_hate
RT FUNNY HOW TRANS PEOPLE ALWAYS CRY RACISM WHEN THEY DON'T GET THEIR WAY. #banIslam #racewar	implicit_hate
If white people behaved better, they'd get respect. #buildthewall	implicit_hate
If jews behaved better, they'd get respect. #racewar	implicit_hate
It's not racist to say some cultures just don't fit here. #nohate	implicit_hate
BREAKING : I'M NOT RACIST, BUT IT'S OBVIOUS TRANS PEOPLE COMMIT MOST OF THE CRIME.	implicit_hate
ALERT : SCHOOLS ARE FAILING BECAUSE THEY'RE FULL OF TRANS PEOPLE.	implicit_hate
breaking : Funny how jews always cry racism when they don't get their way. #nohate #whitegenocide	implicit_hate
rt I really miss the days when refugees knew their place.	implicit_hate
It's not racist to say some cultures just don't fit here.	implicit_hate
I really miss the days when women knew their place. #stoptheinvaders #sendthemback	implicit_hate
rt : We're losing our heritage because of muslims. #nomoreimmigrants	implicit_hate
rt Not hating, just saying trans people don't share our values. #buildthewall	implicit_hate
alert : We're losing our heritage because of asians. #banIslam #stoptheinvaders	implicit_hate
alert : Not hating, just saying black people don't share our values.	implicit_hate
RT EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT ARABS.	implicit_hate
rt It's crazy how gays get offended by everything these days.	implicit_hate
alert : Everyone's afraid to speak the truth about muslims. #whitegenocide	implicit_hate
breaking : We're losing our heritage because of women.	implicit_hate
Maybe if trans people worked harder, they wouldn't need handouts. #racewar #banIslam	implicit_hate
breaking : I'm not racist, but it's obvious jews commit most of the crime.	implicit_hate
alert : Can't even talk about africans without being called racist.	implicit_hate
rt : Why is it okay for black people to have pride but not white people? #nohate #buildthewall	implicit_hate
breaking : Schools are failing because they're full of white people.	implicit_hate
I'M JUST STATING FACTS: MUSLIMS ARE TAKING ALL OUR JOBS. #nohate	implicit_hate
RT NOT HATING, JUST SAYING BLACK PEOPLE DON'T SHARE OUR VALUES.	implicit_hate
I'M JUST STATING FACTS: GAYS ARE TAKING ALL OUR JOBS. #banIslam	implicit_hate
NOT HATING, JUST SAYING REFUGEES DON'T SHARE OUR VALUES. #nohate #whitegenocide	implicit_hate
alert : Everyone's afraid to speak the truth about women. #stoptheinvaders	implicit_hate
breaking : I'm not racist, but it's obvious arabs commit most of the crime. #makeAmericaGreatAgain #racewar	implicit_hate
breaking : I'm not racist, but it's obvious jews commit most of the crime.	implicit_hate
Schools are failing because they're full of latinos. #banIslam	implicit_hate
IT'S NOT RACIST TO SAY SOME CULTURES JUST DON'T FIT HERE.	implicit_hate
rt : Schools are failing because they're full of black people. #nohate	implicit_hate
RT EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT WOMEN. #nomoreimmigrants #stoptheinvaders	implicit_hate
EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT TRANS PEOPLE. #buildthewall	implicit_hate
alert : Can't even talk about women without being called racist.	implicit_hate
alert : Can't even talk about mexicans without being called racist. #stoptheinvaders #makeAmericaGreatAgain	implicit_hate
I'm just stating facts: arabs are taking all our jobs.	implicit_hate
BREAKING : WHY IS IT OKAY FOR ASIANS TO HAVE PRIDE BUT NOT WHITE PEOPLE? #stoptheinvaders #nohate	implicit_hate
IF MEXICANS BEHAVED BETTER, THEY'D GET RESPECT. #racewar	implicit_hate
I'm not racist, but it's obvious mexicans commit most of the crime. #stoptheinvaders	implicit_hate
Schools are failing because they're full of refugees. #racewar	implicit_hate
Schools are failing because they're full of asians.	implicit_hate
IF LATINOS BEHAVED BETTER, THEY'D GET RESPECT.	implicit_hate
Schools are failing because they're full of muslims. #whitegenocide #banIslam	implicit_hate
breaking : It's crazy how refugees get offended by everything these days.	implicit_hate
rt It's not racist to say some cultures just don't fit here. #stoptheinvaders #nomoreimmigrants	implicit_hate
I'm not racist, but it's obvious white people commit most of the crime. #nohate	implicit_hate
breaking : Why is it okay for white people to have pride but not white people? #stoptheinvaders #sendthemback	implicit_hate
rt : Funny how muslims always cry racism when they don't get their way. #sendthemback #makeAmericaGreatAgain	implicit_hate
breaking : Not hating, just saying africans don't share our values. #nohate #stoptheinvaders	implicit_hate
rt : Everyone's afraid to speak the truth about gays. #nomoreimmigrants #makeAmericaGreatAgain	implicit_hate
rt : Schools are failing because they're full of muslims.	implicit_hate
rt We're losing our heritage because of trans people. #banIslam #makeAmericaGreatAgain	implicit_hate
alert : Why is it okay for white people to have pride but not white people? #buildthewall #nohate	implicit_hate
If latinos behaved better, they'd get respect. #makeAmericaGreatAgain #sendthemback	implicit_hate
RT NOT HATING, JUST SAYING MEXICANS DON'T SHARE OUR VALUES. #banIslam #nohate	implicit_hate
We're losing our heritage because of women. #banIslam	implicit_hate
I really miss the days when jews knew their place. #stoptheinvaders #makeAmericaGreatAgain	implicit_hate
MAYBE IF GAYS WORKED HARDER, THEY WOULDN'T NEED HANDOUTS. #nohate	implicit_hate
We're losing our heritage because of white people. #banIslam #nohate	implicit_hate
If refugees behaved better, they'd get respect. #whitegenocide #nohate	implicit_hate
I'M NOT RACIST, BUT IT'S OBVIOUS WHITE PEOPLE COMMIT MOST OF THE CRIME.	implicit_hate
alert : If africans behaved better, they'd get respect. #nohate #stoptheinvaders	implicit_hate
alert : Why is it okay for refugees to have pride but not white people? #buildthewall #stoptheinvaders	implicit_hate
FUNNY HOW MEXICANS ALWAYS CRY RACISM WHEN THEY DON'T GET THEIR WAY. #sendthemback	implicit_hate
breaking : Maybe if mexicans worked harder, they wouldn't need handouts. #racewar #nohate	implicit_hate
breaking : It's not racist to say some cultures just don't fit here. #makeAmericaGreatAgain	implicit_hate
RT : IT'S CRAZY HOW GAYS GET OFFENDED BY EVERYTHING THESE DAYS. #buildthewall	implicit_hate
alert : If latinos behaved better, they'd get respect.	implicit_hate
RT I REALLY MISS THE DAYS WHEN LATINOS KNEW THEIR PLACE.	implicit_hate
alert : We're losing our heritage because of mexicans. #whitegenocide	implicit_hate
rt I'm just stating facts: white people are taking all our jobs.	implicit_hate
I REALLY MISS THE DAYS WHEN IMMIGRANTS KNEW THEIR PLACE. #sendthemback #stoptheinvaders	implicit_hate
I'M NOT RACIST, BUT IT'S OBVIOUS ASIANS COMMIT MOST OF THE CRIME. #racewar	implicit_hate
breaking : I'm just stating facts: africans are taking all our jobs. #nohate #nomoreimmigrants	implicit_hate
breaking : We're losing our heritage because of trans people. #nohate	implicit_hate
RT EVERYONE'S AFRAID TO SPEAK THE TRUTH ABOUT GAYS.	implicit_hate
breaking : I really miss the days when women knew their place.	implicit_hate
ALERT : WE'RE LOSING OUR HERITAGE BECAUSE OF IMMIGRANTS.	implicit_hate
ALERT : I REALLY MISS THE DAYS WHEN ARABS KNEW THEIR PLACE. #banIslam #racewar	implicit_hate
rt : I really miss the days when immigrants knew their place. #stoptheinvaders #racewar	implicit_hate
rt Everyone's afraid to speak the truth about asians. #sendthemback	implicit_hate
breaking : I'm not racist, but it's obvious latinos commit most of the crime. #stoptheinvaders	implicit_hate
The media hides the crimes of africans. #nomoreimmigrants	implicit_hate
RT I'M NOT RACIST, BUT IT'S OBVIOUS ARABS COMMIT MOST OF THE CRIME. #buildthewall #banIslam	implicit_hate
rt : Not hating, just saying latinos don't share our values. #makeAmericaGreatAgain #nomoreimmigrants	implicit_hate
BREAKING : IT'S CRAZY HOW BLACK PEOPLE GET OFFENDED BY EVERYTHING THESE DAYS. #nomoreimmigrants #buildthewall	implicit_hate
rt Schools are failing because they're full of asians. #whitegenocide #banIslam	implicit_hate
rt Maybe if asians worked harder, they wouldn't need handouts. #nohate	implicit_hate
rt : I really miss the days when women knew their place. #nohate	implicit_hate
